change,currency,market_cap,value,volume
6.93,Bitcoin,"$580,606,180,969","$30,496.13","19,038,687.00 BTC"
6.51,Ethereum,"$252,398,988,858","$2,090.09","120,759,919.44 ETH"
0.11,USD Coin,"$49,901,797,805",$1.00,49.85B USDC
12.04,BNB,"$50,053,754,889",$306.56,"163,276,974.63 BNB"
0.84,Binance USD,"$17,190,232,568",$1.00,17.18B BUSD
17.66,Solana,"$17,498,728,803",$51.94,"336,930,940.47 SOL"
23.68,Cardano,"$19,444,086,249",$0.5749,33.82B ADA
15.72,Dogecoin,"$12,054,259,555",$0.09086,132.67B DOGE
16.97,XRP,"$21,616,353,419",$0.4471,48.34B XRP
0.98,Tether,"$79,373,476,473",$0.9989,79.46B USDT
34.22,Polkadot,"$10,980,974,154",$11.12,"987,579,314.96 DOT"
1.92,TRON,"$7,091,072,525",$0.07222,98.18B TRX
6.73,Wrapped Bitcoin,"$8,641,133,679","$30,404.65","284,204.38 WBTC"
,Shiba Inu,"$7,344,572,800",,"549,063.28B SHIB"
0.18,Dai,"$6,463,657,337",$1.00,6.46B DAI
22.96,Avalanche,"$9,404,661,902",$34.97,"268,931,517.92 AVAX"
0.41,UNUS SED LEO,"$4,917,431,287",$5.15,"953,954,130.00 LEO"
67.22,TerraUSD,"$1,849,060,058",$0.1639,11.28B UST
23.15,Polygon,"$5,624,475,337",$0.7166,7.85B MATIC
11.85,Litecoin,"$4,963,398,615",$70.63,"70,274,931.28 LTC"
7.34,FTX Token,"$4,347,996,906",$31.84,"136,538,847.82 FTT"
10.06,Cronos,"$4,943,790,414",$0.1957,25.26B CRO
18.18,NEAR Protocol,"$5,044,535,512",$7.39,"682,965,885.00 NEAR"
16.20,Bitcoin Cash,"$4,054,384,750",$212.69,"19,062,043.75 BCH"
15.73,Stellar,"$3,388,178,631",$0.1366,24.80B XLM
14.39,Uniswap,"$3,589,854,015",$5.20,"$275,957,514"
11.36,Flow,"$3,181,629,718",$3.07,1.04B FLOW
15.85,Chainlink,"$3,452,300,574",$7.39,"467,009,549.52 LINK"
20.80,Algorand,"$3,284,356,255",$0.4822,6.81B ALGO
9.38,Monero,"$2,717,245,035",$149.95,"18,120,503.62 XMR"
17.65,Cosmos,"$3,170,965,341",$11.07,"286,370,297.00 ATOM"
42.32,ApeCoin,"$2,618,551,093",$9.19,"284,843,750.00 APE"
15.10,Ethereum Classic,"$2,855,653,771",$21.19,"134,742,483.16 ETC"
20.58,VeChain,"$2,149,505,068",$0.03342,64.32B VET
25.34,Hedera,"$2,155,365,321",$0.1039,20.74B HBAR
6.79,Elrond,"$1,940,041,728",$88.48,"21,925,723.43 EGLD"
7.83,Filecoin,"$1,821,214,908",$8.86,"205,465,624.00 FIL"
25.78,The Sandbox,"$1,810,381,591",$1.47,1.23B SAND
18.45,Internet Computer,"$1,903,079,003",$8.26,"230,457,943.36 ICP"
13.78,Tezos,"$1,670,043,050",$1.87,"894,459,953.27 XTZ"
0.92,Axie Infinity,"$1,371,436,744",$22.52,"60,907,500.00 AXS"
11.32,EOS,"$1,405,469,715",$1.42,"989,337,938.87 EOS"
51.07,Decentraland,"$2,022,436,136",$1.10,1.84B MANA
23.02,Theta Network,"$1,486,971,737",$1.49,1.00B THETA
10.21,PancakeSwap,"$1,337,937,670",$4.52,"$211,902,666"
29.56,Maker,"$1,419,490,144","$1,451.97","$374,733,903"
31.10,Helium,"$1,298,695,451",$11.04,"117,616,932.73 HNT"
0.48,TrueUSD,"$1,116,880,659",$1.00,1.12B TUSD
26.98,Zcash,"$1,385,509,287",$96.40,"14,373,193.75 ZEC"
16.14,Aave,"$1,207,429,868",$88.03,"$290,642,186"
0.13,Huobi Token,"$1,079,003,390",$6.95,"155,225,063.25 HT"
23.05,KuCoin Token,"$1,260,091,717",$12.81,"98,379,860.95 KCS"
22.60,THORChain,"$1,184,093,078",$3.58,"$222,477,398"
10.16,Klaytn,"$1,114,051,296",$0.3954,2.82B KLAY
12.04,Bitcoin SV,"$1,014,427,564",$53.23,"19,057,926.64 BSV"
20.94,The Graph,"$1,127,980,284",$0.1635,6.90B GRT
7.10,Waves,"$816,293,753",$7.54,"108,251,428.00 WAVES"
31.28,Quant,"$887,684,458",$73.53,"12,072,738.00 QNT"
18.80,IOTA,"$941,404,957",$0.3387,2.78B MIOTA
,BitTorrent-New,"$1,074,266,919",,"929,275.16B BTT"
0.22,Pax Dollar,"$948,221,696",$1.00,"945,642,940.11 USDP"
60.98,STEPN,"$992,303,162",$1.65,"600,000,000.00 GMT"
21.71,Neutrino USD,"$866,314,888",$0.9477,"914,097,635.60 USDN"
45.75,Fantom,"$990,816,873",$0.3893,2.55B FTM
5.30,Celo,"$732,034,912",$1.67,"439,191,694.00 CELO"
6.92,Convex Finance,"$829,527,691",$13.57,"$20,717,483"
13.90,Neo,"$776,831,206",$11.01,"70,538,831.00 NEO"
11.50,OKB,"$754,655,728",$12.58,"60,000,000.00 OKB"
14.47,Stacks,"$754,402,537",$0.5744,1.31B STX
,eCash,"$887,955,487",,"19,057.62B XEC"
17.10,Chiliz,"$697,567,105",$0.1163,6.00B CHZ
6.25,Gnosis,"$600,955,901",$232.97,"$8,816,858"
15.87,Curve DAO Token,"$694,905,339",$1.51,"$237,299,880"
9.99,Nexo,"$774,571,714",$1.38,"560,000,011.00 NEXO"
1.63,PAX Gold,"$600,574,590","$1,826.43","328,823.72 PAXG"
10.66,Kusama,"$660,820,182",$78.02,"8,470,098.06 KSM"
18.83,Zilliqa,"$699,185,098",$0.05473,12.78B ZIL
36.89,Loopring,"$665,158,501",$0.5001,"$187,078,382"
15.99,Basic Attention Token,"$615,014,000",$0.4105,1.50B BAT
15.42,Dash,"$645,914,752",$60.24,"10,721,623.88 DASH"
21.24,Mina,"$587,452,987",$1.18,"499,542,220.84 MINA"
15.41,XDC Network,"$564,709,937",$0.04589,12.31B XDC
15.21,Lido DAO,"$509,548,923",$1.63,"$20,978,623"
32.27,Enjin Coin,"$657,489,562",$0.7408,"887,579,955.57 ENJ"
15.02,Compound,"$510,737,466",$71.82,"$80,987,675"
21.75,Decred,"$512,223,659",$36.55,"14,013,269.39 DCR"
39.97,Harmony,"$624,878,996",$0.05181,12.06B ONE
59.66,Gala,"$695,837,829",$0.09973,6.98B GALA
26.43,Amp,"$563,265,242",$0.01334,42.23B AMP
27.81,Arweave,"$503,225,808",$15.07,"33,394,701.00 AR"
0.74,Fei USD,"$423,096,841",$0.9955,"$48,301,238"
12.23,Qtum,"$423,572,268",$4.07,"104,161,512.50 QTUM"
26.68,Holo,"$515,159,202",$0.002973,173.31B HOT
0.52,yearn.finance,"$392,557,792","$10,714.58","$157,175,387"
13.24,GateToken,"$445,163,885",$5.68,"78,330,480.69 GT"
18.35,NEM,"$445,356,692",$0.04948,9.00B XEM
7.19,OMG Network,"$367,154,052",$2.62,"140,245,398.25 OMG"
13.24,1inch Network,"$378,433,406",$0.9118,"415,052,082.65 1INCH"
8.02,Bancor,"$375,695,815",$1.45,"$44,667,444"
9.50,Symbol,"$393,971,121",$0.07057,5.58B XYM
